day,posts,likes,views
2020-03-02,2,144,29982
2020-03-03,2,92,31584
2020-03-04,4,150,64310
2020-03-05,2,245,43947
2020-03-06,2,190,31406
2020-03-07,1,85,11176
2020-03-08,1,176,35655
2020-03-09,2,99,30667
2020-03-10,2,84,25356
2020-03-11,2,92,30273
2020-03-12,2,179,38260
2020-03-13,3,156,61423
2020-03-14,1,31,14770
2020-03-15,1,281,41646
2020-03-16,2,74,30372
2020-03-17,3,438,55048
2020-03-18,2,104,39940
2020-03-19,3,87,39317
2020-03-20,2,105,26250
2020-03-21,1,31,13974
2020-03-22,1,199,34387
2020-03-23,2,460,45249
2020-03-24,2,292,58236
2020-03-25,3,202,60076
2020-03-26,1,48,19825
2020-03-27,1,387,43490
2020-03-28,2,562,70775
2020-03-29,1,94,18813
2020-03-30,2,144,29376
2020-03-31,3,182,50594
2020-04-01,3,119,43408
2020-04-02,2,123,40840
2020-04-03,2,46,32245
2020-04-04,1,35,20177
2020-04-05,1,218,35991
2020-04-06,1,63,16687
2020-04-07,3,385,58997
2020-04-08,1,56,18113
2020-04-09,2,463,60014
2020-04-10,1,45,21256
2020-04-11,1,152,20067
2020-04-12,1,149,27391
2020-04-13,2,159,38560
2020-04-14,4,320,70960
2020-04-15,3,293,74268
2020-04-16,2,300,53798
2020-04-17,2,76,45877
2020-04-18,1,137,28808
2020-04-19,1,112,27531
2020-04-20,2,107,36756
2020-04-21,3,253,61450
2020-04-22,2,414,59065
2020-04-23,1,80,24082
2020-04-24,1,114,24384
2020-04-25,1,158,35216
2020-04-26,1,106,25024
2020-04-27,2,145,49303
2020-04-28,1,86,23259
2020-04-29,1,121,26198
2020-04-30,1,59,20806
2020-05-01,1,123,28170
2020-05-02,1,220,33951
2020-05-03,1,151,35575
2020-05-04,2,234,50645
2020-05-05,1,142,26307
2020-05-06,1,940,71609
2020-05-07,1,48,21032
2020-05-08,1,52,18404
2020-05-09,1,169,21748
2020-05-10,1,221,27236
2020-05-11,3,161,56946
2020-05-12,1,140,28427
2020-05-13,2,1095,122203
2020-05-14,1,146,29681
2020-05-15,2,205,48862
2020-05-16,1,75,25530
2020-05-17,1,62,32466
2020-05-18,2,115,49663
2020-05-19,1,32,22110
2020-05-20,1,57,27260
2020-05-21,1,158,33792
2020-05-22,1,53,29782
2020-05-23,1,162,32923
2020-05-24,1,86,22283
2020-05-25,2,101,43824
2020-05-26,1,259,36417
2020-05-27,2,295,51694
2020-05-28,1,45,34886
2020-05-29,1,87,23917
2020-05-30,1,75,23674
2020-05-31,1,261,33891
2020-06-01,3,185,61473
2020-06-02,2,137,43640
2020-06-03,2,59,44148
2020-06-04,2,128,52241
2020-06-05,2,108,48645
2020-06-06,1,129,27258
2020-06-07,1,272,40423
2020-06-08,3,182,70674
2020-06-09,1,36,23424
2020-06-10,1,157,31066
2020-06-11,2,222,50115
2020-06-12,2,113,43715
2020-06-13,1,64,23424
